/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:7.6 CYCLES:76 ICOUNT:10 IHITRATE: 83.3 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:12.1 CYCLES:85 ICOUNT:7 IHITRATE: 78.9 DHITRATE: 75.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:5.8 CYCLES:52 ICOUNT:9 IHITRATE: 70.0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:10.0 CYCLES:70 ICOUNT:7 IHITRATE: 71.4 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:8.5 CYCLES:85 ICOUNT:10 IHITRATE: 85.7 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:12.6 CYCLES:88 ICOUNT:7 IHITRATE: 80.0 DHITRATE: 0.0
